Altersjahre,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Insgesamt
55-Jährige,146924.0,172472.0,42021.0,40975.0,8680.0,20311.0,83502.0,27538.0,108760.0,250039.0,59494.0,15976.0,59919.0,37046.0,37756.0,35902.0,1147315.0
56-Jährige,139382.0,163580.0,41596.0,41212.0,8489.0,19359.0,80116.0,27747.0,104848.0,240707.0,57648.0,15213.0,62061.0,38014.0,36752.0,36121.0,1112845.0
57-Jährige,135302.0,159831.0,41145.0,40607.0,8257.0,18911.0,78585.0,27693.0,102768.0,236315.0,56737.0,15413.0,61421.0,37365.0,36453.0,35569.0,1092372.0
58-Jährige,129793.0,153928.0,40603.0,39986.0,7942.0,17976.0,75256.0,27165.0,99325.0,225203.0,55100.0,15025.0,61980.0,37463.0,35127.0,35456.0,1057328.0
59-Jährige,130161.0,154607.0,39925.0,39075.0,8013.0,18315.0,75998.0,26341.0,100214.0,223138.0,54830.0,14746.0,63017.0,37271.0,34953.0,35128.0,1055732.0
60-Jährige,126292.0,149931.0,40696.0,37879.0,8020.0,18049.0,74744.0,25451.0,99141.0,215600.0,53649.0,14318.0,64543.0,35613.0,35190.0,35011.0,1034127.0
61-Jährige,127059.0,151520.0,42243.0,35627.0,7952.0,18643.0,76491.0,23730.0,99579.0,215348.0,54346.0,14554.0,61877.0,35096.0,35615.0,33273.0,1032953.0
62-Jährige,124933.0,148229.0,39548.0,30277.0,8105.0,18652.0,76218.0,20438.0,98894.0,215004.0,52823.0,14885.0,54246.0,31259.0,35504.0,29603.0,998618.0
63-Jährige,115234.0,141435.0,36173.0,26184.0,7541.0,18085.0,71716.0,17859.0,91435.0,196969.0,45502.0,12845.0,43448.0,26412.0,34942.0,25651.0,911431.0
64-Jährige,107190.0,138298.0,33742.0,25027.0,7253.0,17329.0,66969.0,16617.0,83653.0,181166.0,40419.0,10425.0,43436.0,25781.0,32680.0,24456.0,854441.0
65-Jährige,93621.0,122208.0,26360.0,16856.0,7109.0,16115.0,57356.0,10918.0,78285.0,166017.0,36093.0,8508.0,32651.0,20873.0,30628.0,20125.0,743723.0
66-Jährige,80431.0,98369.0,29865.0,19996.0,5742.0,14286.0,47614.0,11841.0,61696.0,139652.0,30213.0,7852.0,38607.0,21088.0,25310.0,18916.0,651478.0
67-Jährige,104618.0,127043.0,39123.0,29904.0,7134.0,17991.0,63407.0,17735.0,82664.0,180853.0,39653.0,10592.0,56134.0,29519.0,33568.0,27481.0,867419.0
68-Jährige,105559.0,126879.0,41064.0,32103.0,7413.0,18073.0,62726.0,19303.0,85081.0,180830.0,39364.0,10334.0,55326.0,30378.0,34658.0,27609.0,876700.0
69-Jährige,103409.0,122740.0,38877.0,31024.0,7291.0,17508.0,59312.0,18691.0,82466.0,175156.0,38395.0,10136.0,51126.0,30085.0,33314.0,25894.0,845424.0
70-Jährige,123840.0,148817.0,44764.0,38402.0,8239.0,19970.0,71201.0,23830.0,100002.0,208252.0,47636.0,12921.0,63421.0,36600.0,40031.0,33004.0,1020930.0
71-Jährige,129081.0,157465.0,42605.0,38267.0,8581.0,20185.0,75775.0,24012.0,103477.0,223107.0,51435.0,13498.0,64746.0,37399.0,40127.0,35319.0,1065079.0
72-Jährige,126591.0,154247.0,39533.0,36986.0,8209.0,19392.0,73149.0,24075.0,101016.0,218089.0,50302.0,13712.0,62951.0,36012.0,39425.0,34153.0,1037842.0
73-Jährige,117037.0,138245.0,36136.0,33746.0,7874.0,18111.0,66329.0,22326.0,95342.0,203845.0,46535.0,12563.0,56908.0,32148.0,36583.0,29553.0,953281.0
74-Jährige,107534.0,124554.0,33826.0,30748.0,7283.0,16970.0,61257.0,20112.0,86663.0,189994.0,43166.0,12443.0,51374.0,29633.0,33019.0,26836.0,875412.0
75-Jährige,102227.0,117113.0,31631.0,29516.0,6996.0,16041.0,58421.0,19247.0,81263.0,180134.0,41436.0,12178.0,49732.0,28227.0,30754.0,25731.0,830647.0
76-Jährige,95761.0,108960.0,30220.0,28208.0,6377.0,15423.0,54633.0,18327.0,76010.0,171116.0,38963.0,10856.0,48544.0,26744.0,28531.0,24236.0,782909.0
77-Jährige,84997.0,98503.0,27301.0,25239.0,5757.0,13135.0,49452.0,16724.0,68203.0,156821.0,35111.0,9248.0,43747.0,24334.0,25226.0,21987.0,705785.0
78-Jährige,69659.0,80982.0,19062.0,18809.0,4273.0,9876.0,38667.0,13098.0,52141.0,120300.0,27800.0,7800.0,33356.0,18859.0,18331.0,16795.0,549808.0
79-Jährige,66293.0,78802.0,17244.0,18044.0,4169.0,9245.0,36786.0,12691.0,50351.0,116472.0,26720.0,7717.0,31589.0,18158.0,17162.0,16380.0,527823.0
80-Jährige,64711.0,75362.0,16987.0,17192.0,4036.0,9272.0,36084.0,11755.0,49880.0,114187.0,26493.0,7530.0,31640.0,17542.0,16881.0,15641.0,515193.0
81-Jährige,64328.0,74779.0,16996.0,17040.0,4093.0,9453.0,36894.0,11292.0,49906.0,115766.0,26621.0,7217.0,32638.0,17392.0,16601.0,16059.0,517075.0
82-Jährige,59216.0,69020.0,15737.0,15102.0,3881.0,8902.0,34295.0,10023.0,45824.0,106455.0,24602.0,6637.0,30435.0,15754.0,15575.0,14380.0,475838.0
83-Jährige,55023.0,64263.0,14163.0,13498.0,3721.0,8557.0,31856.0,8879.0,43243.0,98616.0,23100.0,6136.0,27357.0,14592.0,14855.0,13413.0,441272.0
84-Jährige,47888.0,56722.0,12127.0,11109.0,3261.0,7422.0,28206.0,7345.0,38633.0,86198.0,20265.0,5424.0,23044.0,12215.0,12863.0,11331.0,384053.0
85-Jährige,43775.0,52041.0,11321.0,9751.0,2956.0,6855.0,26082.0,6371.0,34339.0,76754.0,18589.0,4791.0,21444.0,10712.0,11616.0,10320.0,347717.0
86-Jährige,39793.0,47261.0,10067.0,8604.0,2654.0,6399.0,23705.0,5523.0,31910.0,69012.0,16548.0,4231.0,18666.0,9561.0,11032.0,8953.0,313919.0
87-Jährige,32644.0,39153.0,8297.0,6991.0,2236.0,5475.0,19947.0,4461.0,26370.0,58202.0,13752.0,3813.0,15126.0,7881.0,9134.0,7402.0,260884.0
88-Jährige,28910.0,34717.0,6701.0,5719.0,2050.0,4769.0,17181.0,3770.0,22631.0,48785.0,11785.0,3372.0,13340.0,6673.0,8087.0,6270.0,224760.0
89-Jährige,25362.0,30470.0,6554.0,5272.0,1816.0,4234.0,15177.0,3236.0,20186.0,43027.0,10514.0,2748.0,12300.0,6056.0,7131.0,5525.0,199608.0
90 Jahre und mehr,75640.0,88554.0,23995.0,15636.0,5874.0,13744.0,44749.0,9448.0,59583.0,124149.0,29017.0,7132.0,36919.0,16797.0,22363.0,15253.0,588853.0
Insgesamt,10512441.0,12443372.0,3326002.0,2453180.0,652182.0,1718187.0,5993771.0,1606899.0,7774253.0,17544938.0,3990033.0,997855.0,4054182.0,2276736.0,2802266.0,2181603.0,80327900.0
31.12.2012,,,,,,,,,,,,,,,,,0.0
unter 1 Jahr,89919.0,107817.0,34450.0,18690.0,5549.0,17287.0,51576.0,12713.0,61737.0,145444.0,31227.0,6857.0,34738.0,16898.0,22157.0,17352.0,674411.0
1-Jährige,89812.0,105013.0,32598.0,18864.0,5172.0,16251.0,51753.0,12684.0,61841.0,143141.0,31585.0,7071.0,34469.0,16749.0,21646.0,17199.0,665848.0
2-Jährige,92481.0,106843.0,32733.0,19904.0,5460.0,16304.0,52541.0,13397.0,64345.0,147890.0,32368.0,7099.0,35054.0,17174.0,23056.0,17661.0,684310.0
3-Jährige,91723.0,105439.0,31718.0,19669.0,5383.0,15741.0,51605.0,13105.0,64029.0,145903.0,31825.0,6971.0,34102.0,17005.0,22815.0,16967.0,674000.0
4-Jährige,94319.0,108647.0,31552.0,20348.0,5395.0,15772.0,53068.0,13173.0,66273.0,151492.0,33230.0,7224.0,34489.0,17522.0,23666.0,17503.0,693673.0
5-Jährige,95260.0,108950.0,30516.0,20119.0,5536.0,15566.0,53312.0,12844.0,67040.0,151739.0,33352.0,7230.0,33681.0,17024.0,24063.0,17091.0,693323.0
6-Jährige,94136.0,106879.0,28626.0,19487.0,5314.0,14986.0,52111.0,12472.0,66785.0,150696.0,32621.0,7186.0,32211.0,16385.0,23833.0,16196.0,679924.0
7-Jährige,96268.0,109067.0,27672.0,19429.0,5257.0,14937.0,53496.0,12155.0,68487.0,153356.0,33486.0,7445.0,32239.0,16527.0,24022.0,16412.0,690255.0
8-Jährige,98658.0,112075.0,27730.0,19896.0,5202.0,14724.0,54325.0,12814.0,71587.0,158179.0,34464.0,7651.0,32630.0,16641.0,25367.0,16998.0,708941.0
9-Jährige,99094.0,113522.0,26544.0,19830.0,5289.0,14371.0,54078.0,12541.0,72150.0,159724.0,35215.0,7588.0,31564.0,16158.0,25669.0,16529.0,709866.0
10-Jährige,101434.0,115529.0,26541.0,19570.0,5286.0,14205.0,55065.0,12260.0,75062.0,163822.0,35887.0,7997.0,31010.0,16697.0,26305.0,16492.0,723162.0
11-Jährige,103876.0,118413.0,26265.0,19459.0,5492.0,14404.0,56366.0,12587.0,77974.0,168336.0,37195.0,8303.0,31064.0,16882.0,27264.0,16829.0,740709.0
12-Jährige,109350.0,123926.0,26773.0,20483.0,5760.0,14803.0,58900.0,12763.0,82093.0,176521.0,39379.0,8685.0,31998.0,17257.0,28863.0,16865.0,774419.0
13-Jährige,111017.0,126194.0,26090.0,19998.0,5785.0,14428.0,58886.0,12112.0,82897.0,177601.0,39852.0,9023.0,30268.0,16596.0,29532.0,16226.0,776505.0
14-Jährige,114281.0,129827.0,26135.0,19459.0,5904.0,14564.0,60606.0,11892.0,85715.0,183637.0,41527.0,9167.0,28847.0,16049.0,29966.0,15981.0,793557.0
15-Jährige,118942.0,133550.0,26310.0,19059.0,6109.0,15045.0,62971.0,11758.0,89307.0,191679.0,43572.0,9950.0,27891.0,15725.0,31254.0,15959.0,819081.0
16-Jährige,117397.0,132592.0,25865.0,18008.0,6142.0,15308.0,62247.0,11073.0,87641.0,190145.0,42777.0,10086.0,26239.0,14922.0,30987.0,14751.0,806180.0
17-Jährige,115713.0,130053.0,25142.0,16437.0,6097.0,14887.0,60725.0,9924.0,85355.0,186092.0,42051.0,9841.0,23694.0,13637.0,29565.0,13510.0,782723.0
18-Jährige,117799.0,132794.0,25820.0,15183.0,6292.0,15629.0,62371.0,9309.0,86135.0,192239.0,43485.0,10262.0,23396.0,13497.0,30243.0,12597.0,797051.0
19-Jährige,123998.0,140953.0,28302.0,14415.0,7056.0,16384.0,64431.0,9744.0,87921.0,199899.0,45591.0,10743.0,25009.0,14129.0,31127.0,13368.0,833070.0
20-Jährige,126286.0,144635.0,31315.0,15031.0,7728.0,17825.0,65295.0,11169.0,87054.0,202120.0,46324.0,10982.0,27538.0,16032.0,30535.0,14960.0,854829.0
21-Jährige,129980.0,149590.0,35389.0,17504.0,8447.0,19781.0,67443.0,13162.0,88224.0,208125.0,47532.0,11370.0,32929.0,18318.0,30712.0,17541.0,896047.0
22-Jährige,136399.0,158151.0,44925.0,25980.0,9149.0,22809.0,71889.0,19901.0,91507.0,216263.0,49691.0,11795.0,48886.0,26930.0,31711.0,26216.0,992202.0
23-Jährige,134141.0,155110.0,48821.0,27181.0,9390.0,23798.0,72418.0,20683.0,88993.0,211622.0,48568.0,11514.0,51542.0,27670.0,30588.0,26811.0,988850.0
24-Jährige,137705.0,160284.0,52969.0,27942.0,9917.0,25804.0,74604.0,21186.0,91345.0,217651.0,49792.0,11709.0,53152.0,28745.0,31582.0,28366.0,1022753.0
25-Jährige,133606.0,156779.0,55032.0,28063.0,9610.0,26208.0,73532.0,21675.0,89294.0,213931.0,47961.0,11705.0,54211.0,28360.0,30694.0,28468.0,1009129.0
26-Jährige,133263.0,158001.0,55894.0,26839.0,9500.0,27044.0,73339.0,20358.0,87449.0,211370.0,47227.0,11675.0,51896.0,27063.0,29688.0,27378.0,997984.0
27-Jährige,128832.0,152114.0,55938.0,27176.0,9103.0,27362.0,71165.0,20146.0,83925.0,203560.0,44507.0,10974.0,52151.0,26437.0,28309.0,26766.0,968465.0
28-Jährige,129427.0,153480.0,55589.0,26618.0,9049.0,28094.0,72468.0,19527.0,83215.0,203805.0,44759.0,10979.0,51329.0,26399.0,28425.0,26799.0,969962.0
29-Jährige,129875.0,156133.0,55914.0,26961.0,9229.0,28678.0,72796.0,19536.0,84415.0,205318.0,44731.0,11095.0,51703.0,26601.0,28735.0,26619.0,978339.0
30-Jährige,133316.0,160789.0,56947.0,27566.0,9330.0,29438.0,75869.0,19850.0,86726.0,211390.0,46199.0,11389.0,52250.0,25985.0,30026.0,27267.0,1004337.0
31-Jährige,133123.0,161635.0,56221.0,27425.0,8918.0,29746.0,76076.0,19106.0,87152.0,210201.0,46424.0,11154.0,50680.0,25906.0,30292.0,26396.0,1000455.0
32-Jährige,133424.0,160871.0,55575.0,28786.0,8692.0,29217.0,76440.0,19534.0,87729.0,210793.0,45470.0,11176.0,51709.0,26295.0,30886.0,27042.0,1003639.0
33-Jährige,126083.0,154105.0,51818.0,28078.0,8072.0,27545.0,73989.0,18996.0,84564.0,200754.0,43849.0,10521.0,49974.0,25114.0,29616.0,25806.0,958884.0
34-Jährige,123240.0,152358.0,49641.0,28352.0,7913.0,26661.0,73382.0,19031.0,84476.0,198977.0,43299.0,10339.0,50123.0,25243.0,29885.0,24891.0,947811.0
35-Jährige,123302.0,151772.0,48055.0,27670.0,7878.0,26037.0,72683.0,18492.0,84306.0,199810.0,43238.0,10346.0,48829.0,24235.0,30144.0,24621.0,941418.0
36-Jährige,123839.0,150564.0,45840.0,25398.0,7842.0,25613.0,73172.0,16152.0,85438.0,201439.0,42718.0,9997.0,43433.0,21688.0,30475.0,21959.0,925567.0
37-Jährige,121441.0,148301.0,43644.0,24448.0,7673.0,24143.0,71286.0,15280.0,83834.0,196567.0,42320.0,9732.0,41465.0,20714.0,29842.0,21074.0,901764.0
38-Jährige,124817.0,151143.0,42472.0,24294.0,7477.0,23952.0,72462.0,15011.0,86915.0,199965.0,43034.0,10042.0,41040.0,21293.0,30462.0,21912.0,916291.0
39-Jährige,124737.0,151027.0,41244.0,24936.0,7682.0,23202.0,73216.0,15552.0,89169.0,203531.0,44247.0,10112.0,41630.0,22367.0,31704.0,22620.0,926976.0
40-Jährige,135813.0,164106.0,42983.0,28096.0,8133.0,24275.0,78598.0,17140.0,97977.0,220886.0,48283.0,11143.0,45840.0,25763.0,34678.0,25577.0,1009291.0
41-Jährige,147135.0,178301.0,47223.0,33329.0,8699.0,25718.0,85544.0,19965.0,108344.0,242698.0,53408.0,12487.0,53775.0,30713.0,39300.0,28915.0,1115554.0
42-Jährige,153109.0,185530.0,47919.0,34063.0,8968.0,26127.0,89536.0,20332.0,114245.0,254469.0,56259.0,12904.0,53798.0,30925.0,41317.0,29627.0,1159128.0
43-Jährige,164839.0,201181.0,50140.0,35722.0,9675.0,27485.0,96679.0,21250.0,124234.0,279982.0,61261.0,14517.0,54201.0,32198.0,46033.0,30044.0,1249441.0
44-Jährige,173254.0,210014.0,52820.0,37760.0,10333.0,29285.0,101338.0,22718.0,130966.0,293484.0,65021.0,15533.0,55493.0,33185.0,49268.0,30637.0,1311109.0
45-Jährige,177465.0,215749.0,53142.0,40394.0,10426.0,29625.0,103239.0,23911.0,135594.0,301587.0,67012.0,16210.0,57531.0,34754.0,51252.0,31836.0,1349727.0
46-Jährige,182247.0,218675.0,55502.0,43318.0,10846.0,29752.0,105829.0,26003.0,138608.0,309801.0,69970.0,16921.0,61034.0,36294.0,51779.0,34205.0,1390784.0
47-Jährige,181788.0,217385.0,57370.0,45586.0,10789.0,28821.0,106173.0,27680.0,137321.0,308915.0,70149.0,17314.0,63689.0,38006.0,50875.0,35384.0,1397245.0
48-Jährige,185093.0,220763.0,58174.0,47705.0,10680.0,29258.0,107124.0,29172.0,138437.0,313580.0,72031.0,17921.0,66511.0,39867.0,51571.0,37520.0,1425407.0
49-Jährige,183031.0,218226.0,58037.0,49362.0,10477.0,28064.0,105412.0,30545.0,136753.0,307648.0,72047.0,17982.0,67594.0,41319.0,50060.0,38481.0,1415038.0
50-Jährige,177306.0,211699.0,55295.0,49028.0,10324.0,26186.0,101370.0,30514.0,132293.0,295538.0,70269.0,17944.0,66448.0,40857.0,47911.0,38117.0,1371099.0
51-Jährige,174285.0,208863.0,52576.0,48497.0,9922.0,25083.0,98949.0,30985.0,130771.0,290904.0,70100.0,18195.0,66445.0,40921.0,46910.0,39425.0,1352831.0
52-Jährige,169203.0,200277.0,50220.0,46751.0,9673.0,24400.0,95442.0,30335.0,125395.0,284291.0,67847.0,17505.0,63934.0,39878.0,44589.0,37620.0,1307360.0
53-Jährige,162430.0,194162.0,48235.0,45703.0,9415.0,23272.0,92913.0,29700.0,121995.0,277571.0,65782.0,17798.0,63475.0,39077.0,43352.0,37659.0,1272539.0
54-Jährige,154503.0,184537.0,44393.0,42004.0,9124.0,22114.0,88160.0,27916.0,114881.0,263704.0,62308.0,17106.0,58762.0,36790.0,40790.0,35013.0,1202105.0
55-Jährige,150385.0,179192.0,42614.0,40964.0,9070.0,21159.0,86167.0,27255.0,112861.0,258072.0,61782.0,16469.0,58630.0,36304.0,39839.0,34951.0,1175714.0
56-Jährige,146630.0,172051.0,41791.0,40876.0,8669.0,20168.0,83138.0,27388.0,108416.0,248794.0,59324.0,15915.0,59557.0,36793.0,37645.0,35704.0,1142859.0
57-Jährige,139069.0,163043.0,41352.0,41048.0,8415.0,19174.0,79688.0,27596.0,104510.0,239292.0,57407.0,15115.0,61723.0,37667.0,36659.0,35911.0,1107669.0
58-Jährige,134728.0,159177.0,40846.0,40393.0,8237.0,18734.0,78151.0,27514.0,102289.0,234843.0,56469.0,15346.0,61079.0,37043.0,36357.0,35375.0,1086581.0
59-Jährige,129153.0,153162.0,40232.0,39821.0,7890.0,17773.0,74691.0,27014.0,98848.0,223472.0,54817.0,14953.0,61611.0,37147.0,35011.0,35201.0,1050796.0
60-Jährige,129356.0,153690.0,39590.0,38870.0,7947.0,18060.0,75316.0,26179.0,99753.0,221114.0,54481.0,14650.0,62571.0,36933.0,34821.0,34926.0,1048257.0
61-Jährige,125389.0,148952.0,40224.0,37647.0,7939.0,17784.0,74000.0,25330.0,98563.0,213498.0,53367.0,14211.0,64141.0,35288.0,35107.0,34727.0,1026167.0
62-Jährige,126036.0,150362.0,41770.0,35339.0,7873.0,18330.0,75785.0,23574.0,98919.0,213248.0,53952.0,14440.0,61408.0,34696.0,35449.0,32986.0,1024167.0
63-Jährige,123762.0,146911.0,39014.0,30091.0,7990.0,18355.0,75383.0,20280.0,98197.0,212688.0,52349.0,14752.0,53811.0,30862.0,35338.0,29316.0,989099.0
64-Jährige,114033.0,140148.0,35722.0,25942.0,7457.0,17763.0,70815.0,17688.0,90684.0,194490.0,45119.0,12710.0,43081.0,26104.0,34777.0,25381.0,901914.0
65-Jährige,105954.0,136752.0,33334.0,24830.0,7170.0,17021.0,66019.0,16486.0,82849.0,178652.0,40028.0,10301.0,43069.0,25463.0,32433.0,24208.0,844569.0
66-Jährige,92470.0,120752.0,25987.0,16718.0,7028.0,15809.0,56583.0,10825.0,77365.0,163506.0,35714.0,8380.0,32351.0,20567.0,30302.0,19898.0,734255.0
67-Jährige,79372.0,97130.0,29418.0,19797.0,5651.0,14020.0,46934.0,11745.0,60995.0,137560.0,29850.0,7712.0,38188.0,20804.0,25026.0,18672.0,642874.0
68-Jährige,103172.0,125404.0,38505.0,29536.0,7008.0,17633.0,62423.0,17476.0,81649.0,177839.0,39131.0,10427.0,55416.0,29073.0,33147.0,27113.0,854952.0
69-Jährige,104025.0,125105.0,40380.0,31711.0,7291.0,17685.0,61732.0,19038.0,83824.0,177826.0,38820.0,10157.0,54624.0,29900.0,34132.0,27215.0,863465.0
70-Jährige,101903.0,120910.0,38181.0,30537.0,7150.0,17151.0,58333.0,18437.0,81153.0,172054.0,37778.0,9947.0,50383.0,29580.0,32730.0,25419.0,831646.0
71-Jährige,121866.0,146440.0,43896.0,37718.0,8044.0,19585.0,69915.0,23380.0,98231.0,204217.0,46793.0,12673.0,62420.0,35873.0,39389.0,32416.0,1002856.0
72-Jährige,126746.0,154666.0,41754.0,37605.0,8406.0,19771.0,74300.0,23507.0,101491.0,218415.0,50461.0,13199.0,63636.0,36600.0,39461.0,34596.0,1044614.0
73-Jährige,124064.0,151267.0,38630.0,36300.0,8030.0,18910.0,71642.0,23578.0,98811.0,213130.0,49215.0,13391.0,61727.0,35197.0,38642.0,33390.0,1015924.0
74-Jährige,114680.0,135202.0,35245.0,32945.0,7669.0,17648.0,64840.0,21817.0,93040.0,198859.0,45465.0,12245.0,55592.0,31282.0,35823.0,28880.0,931232.0
75-Jährige,105017.0,121601.0,32920.0,29966.0,7075.0,16467.0,59671.0,19568.0,84430.0,184819.0,42018.0,12087.0,50070.0,28811.0,32265.0,26045.0,852830.0
76-Jährige,99613.0,113864.0,30684.0,28638.0,6785.0,15523.0,56775.0,18638.0,78844.0,174658.0,40265.0,11802.0,48369.0,27270.0,29933.0,24917.0,806578.0
77-Jährige,92929.0,105639.0,29140.0,27261.0,6182.0,14897.0,52908.0,17705.0,73552.0,165097.0,37627.0,10502.0,46930.0,25822.0,27663.0,23354.0,757208.0
78-Jährige,82214.0,95102.0,26348.0,24297.0,5526.0,12597.0,47633.0,16101.0,65633.0,150728.0,33792.0,8895.0,42168.0,23332.0,24343.0,21094.0,679803.0
79-Jährige,66929.0,77694.0,18211.0,18019.0,4067.0,9443.0,37115.0,12495.0,49916.0,115151.0,26605.0,7440.0,31986.0,17939.0,17621.0,15999.0,526630.0
80-Jährige,63375.0,75242.0,16503.0,17192.0,3973.0,8780.0,35058.0,12081.0,47937.0,110659.0,25439.0,7377.0,30095.0,17144.0,16372.0,15505.0,502732.0
81-Jährige,61498.0,71412.0,16131.0,16251.0,3819.0,8743.0,34132.0,11095.0,47305.0,107797.0,25040.0,7118.0,29959.0,16498.0,16020.0,14745.0,487563.0
82-Jährige,60666.0,70394.0,15969.0,16047.0,3853.0,8874.0,34663.0,10558.0,46925.0,108561.0,24991.0,6752.0,30675.0,16230.0,15690.0,15028.0,485876.0
83-Jährige,55463.0,64436.0,14714.0,14095.0,3633.0,8326.0,31945.0,9313.0,42735.0,98948.0,22856.0,6147.0,28384.0,14603.0,14516.0,13303.0,443417.0
84-Jährige,50981.0,59435.0,13114.0,12435.0,3417.0,7904.0,29395.0,8175.0,39839.0,90954.0,21200.0,5605.0,25381.0,13324.0,13799.0,12286.0,407244.0
85-Jährige,43882.0,51941.0,11154.0,10235.0,3017.0,6803.0,25816.0,6723.0,35302.0,78548.0,18561.0,4953.0,21061.0,11034.0,11771.0,10298.0,351099.0
86-Jährige,39794.0,47049.0,10303.0,8836.0,2660.0,6222.0,23552.0,5737.0,31062.0,69291.0,16769.0,4292.0,19380.0,9605.0,10521.0,9265.0,314338.0
87-Jährige,35598.0,42223.0,9048.0,7656.0,2356.0,5699.0,21159.0,4944.0,28544.0,61427.0,14693.0,3765.0,16709.0,8389.0,9877.0,7932.0,280019.0
88-Jährige,28734.0,34279.0,7368.0,6176.0,1962.0,4842.0,17587.0,3919.0,23125.0,51081.0,12072.0,3315.0,13315.0,6899.0,8009.0,6464.0,229147.0
89-Jährige,25080.0,29824.0,5867.0,4974.0,1791.0,4176.0,14882.0,3225.0,19518.0,42122.0,10116.0,2902.0,11556.0,5716.0,7019.0,5360.0,194128.0
90 Jahre und mehr,80731.0,94727.0,24609.0,16872.0,6161.0,14425.0,48072.0,10110.0,63962.0,133134.0,31586.0,7877.0,39555.0,18185.0,23628.0,16522.0,630156.0
Insgesamt,10569111.0,12519571.0,3375222.0,2449511.0,654774.0,1734272.0,6016481.0,1600327.0,7778995.0,17554329.0,3990278.0,994287.0,4050204.0,2259393.0,2806531.0,2170460.0,80523746.0
31.12.2013,,,,,,,,,,,,,,,,,0.0
unter 1 Jahr,91964.0,110356.0,34710.0,18526.0,5636.0,17823.0,52129.0,12605.0,63062.0,146245.0,32100.0,6822.0,34772.0,16868.0,21994.0,17458.0,683070.0
1-Jährige,91593.0,109362.0,34446.0,19331.0,5586.0,16933.0,52186.0,12908.0,63036.0,147716.0,31866.0,6923.0,35135.0,17034.0,22767.0,17515.0,684337.0
2-Jährige,90710.0,106046.0,32539.0,19423.0,5142.0,16030.0,52115.0,12809.0,62724.0,144603.0,32067.0,7117.0,34705.0,16854.0,22100.0,17340.0,672324.0
3-Jährige,93419.0,107641.0,32648.0,20373.0,5469.0,16147.0,52864.0,13477.0,65252.0,149272.0,32785.0,7130.0,35272.0,17246.0,23374.0,17742.0,690111.0
4-Jährige,92574.0,106407.0,31839.0,20047.0,5424.0,15618.0,52006.0,13207.0,64758.0,147011.0,32275.0,6999.0,34292.0,17053.0,23096.0,17044.0,679650.0
5-Jährige,95108.0,109627.0,31483.0,20702.0,5404.0,15697.0,53390.0,13289.0,66948.0,152720.0,33568.0,7276.0,34670.0,17573.0,23993.0,17559.0,699007.0
6-Jährige,95962.0,109538.0,30373.0,20554.0,5540.0,15490.0,53576.0,12891.0,67559.0,152729.0,33638.0,7269.0,33766.0,17077.0,24253.0,17122.0,697337.0
7-Jährige,94813.0,107514.0,28687.0,19696.0,5339.0,14946.0,52411.0,12529.0,67327.0,152024.0,32850.0,7243.0,32249.0,16399.0,24071.0,16222.0,684320.0
8-Jährige,96994.0,109750.0,27805.0,19572.0,5310.0,14958.0,53822.0,12207.0,68990.0,154382.0,33735.0,7496.0,32330.0,16578.0,24181.0,16447.0,694557.0
9-Jährige,99402.0,112782.0,27902.0,20043.0,5254.0,14767.0,54647.0,12856.0,72064.0,159309.0,34725.0,7652.0,32696.0,16665.0,25512.0,17063.0,713339.0
10-Jährige,99826.0,114167.0,26699.0,19952.0,5369.0,14399.0,54409.0,12577.0,72644.0,160741.0,35407.0,7630.0,31605.0,16213.0,25842.0,16574.0,714054.0
11-Jährige,102112.0,116245.0,26682.0,19698.0,5322.0,14244.0,55351.0,12319.0,75459.0,164773.0,36119.0,8037.0,31068.0,16709.0,26521.0,16507.0,727166.0
12-Jährige,104536.0,119123.0,26422.0,19579.0,5550.0,14438.0,56701.0,12600.0,78406.0,169266.0,37425.0,8327.0,31107.0,16892.0,27456.0,16848.0,744676.0
13-Jährige,109930.0,124717.0,26884.0,20647.0,5800.0,14821.0,59178.0,12783.0,82493.0,177461.0,39544.0,8735.0,32075.0,17271.0,29075.0,16872.0,778286.0
14-Jährige,111623.0,126866.0,26257.0,20086.0,5850.0,14510.0,59192.0,12139.0,83211.0,178520.0,40058.0,9036.0,30286.0,16611.0,29707.0,16246.0,780198.0
15-Jährige,114998.0,130479.0,26297.0,19552.0,5945.0,14655.0,60965.0,11890.0,86077.0,184590.0,41721.0,9229.0,28933.0,16081.0,30147.0,16048.0,797607.0
16-Jährige,119755.0,134392.0,26692.0,19141.0,6204.0,15425.0,63548.0,11785.0,89745.0,192823.0,43688.0,10004.0,28014.0,15738.0,31361.0,15975.0,824290.0
17-Jährige,118116.0,133386.0,26310.0,18021.0,6302.0,15846.0,62851.0,11063.0,87932.0,191275.0,42876.0,10159.0,26369.0,14895.0,31011.0,14788.0,811200.0
18-Jährige,117789.0,131754.0,26326.0,16074.0,6415.0,15584.0,61697.0,10046.0,85341.0,187930.0,42598.0,9922.0,24455.0,13780.0,29999.0,13580.0,793290.0
19-Jährige,120977.0,136605.0,28500.0,14600.0,6861.0,16635.0,64118.0,9549.0,85966.0,193759.0,43799.0,10296.0,24911.0,14107.0,30558.0,12869.0,814110.0
